*** BN/BN/BN ***
Ang12(deg)	  Ang32 (deg)	  a 	b	ap	bp	app	bpp	a3 (Angstrom)	Natom	lambda (lambda0)
1.084549	0.271131	124	120	120	124	121	123	2.505843	267930	4
1.084549	0.361512	93	90	90	93	91	92	2.505859	150710	3
1.084549	0.542275	62	60	60	62	61	61	2.505871	66982	2
1.084549	0.723037	93	90	90	93	92	91	2.505859	150710	3
1.084549	0.813418	124	120	120	124	123	121	2.505843	267930	4
1.084549	0.976099	310	300	300	310	309	301	2.505799	1674582	10
1.084549	1.084549	31	30	30	31	31	30	2.505759	16746	1
1.084549	1.192995	310	300	300	310	311	299	2.50571	1674622	10
1.084549	1.446017	93	90	90	93	94	89	2.50556	150722	3
1.084549	1.626726	62	60	60	62	63	59	2.505422	66990	2
1.084549	1.807414	93	90	90	93	95	88	2.50526	150734	3
1.084549	2.168710	31	30	30	31	32	29	2.504862	16750	1
1.084549	2.710402	62	60	60	62	65	57	2.504077	67014	2

1.538500	0.384608	88	84	84	88	85	87	2.505928	133146	4
1.538500	0.512820	66	63	63	66	64	65	2.50596	74894	3
1.538500	0.769250	44	42	42	44	43	43	2.505985	33286	2
1.538500	1.025680	66	63	63	66	65	64	2.50596	74894	3
1.538500	1.230818	110	105	105	110	109	106	2.505904	208042	5
1.538500	1.435943	330	315	315	330	329	316	2.505815	1872422	15
1.538500	1.538500	22	21	21	22	22	21	2.505759	8322	1
1.538500	1.641052	330	315	315	330	331	314	2.505695	1872482	15
1.538500	1.794869	132	126	126	132	133	125	2.505583	299606	6
1.538500	1.846138	110	105	105	110	111	104	2.505542	208062	5
1.538500	1.923038	88	84	84	88	89	83	2.505477	133162	4
1.538500	2.307473	44	42	42	44	45	41	2.505082	33294	2

2.004628	0.668179	51	48	48	51	49	50	2.5061	44114	3
2.004628	1.002314	34	32	32	34	33	33	2.506142	19606	2
2.004628	1.336449	51	48	48	51	50	49	2.5061	44114	3
2.004628	1.754083	136	128	128	136	135	129	2.505927	313714	8
2.004628	1.904414	340	320	320	340	339	321	2.505832	1960762	20
2.004628	2.004628	17	16	16	17	17	16	2.505759	4902	1
2.004628	2.104836	340	320	320	340	341	319	2.505678	1960842	20
2.004628	2.255134	136	128	128	136	137	127	2.505543	313746	8
2.004628	2.338626	102	96	96	102	103	95	2.505461	176486	6
2.004628	2.505593	68	64	64	68	69	63	2.50528	78442	4
2.004628	2.672534	51	48	48	51	52	47	2.505078	44126	3
2.004628	3.006329	34	32	32	34	35	31	2.50461	19614	2
