*** BN/G/BN, BN/G/NB ***
Ang12(deg)	  Ang32 (deg)	  a 	b	ap	bp	app	bpp	a3 (Angstrom)	Natom	lambda (lambda0)
0.537754	0.095624	208	240	208	248	205	243	2.504330	916050	8
0.537754	0.144734	78	90	78	93	77	91	2.504434	128816	3
0.537754	0.200864	182	210	182	217	180	212	2.504551	701310	7
0.537754	0.242966	104	120	104	124	103	121	2.504637	228994	4
0.537754	0.301913	130	150	130	155	129	151	2.504755	357792	5
0.537754	0.341214	156	180	156	186	155	181	2.504833	515210	6
0.537754	0.369287	182	210	182	217	181	211	2.504887	701248	7
0.537754	0.390343	208	240	208	248	207	241	2.504928	915906	8
0.537754	0.537754	26	30	26	31	26	30	2.505202	14310	1
0.537754	0.668812	234	270	234	279	235	269	2.505432	1159040	9
0.537754	0.706262	182	210	182	217	183	209	2.505495	701136	7
0.537754	0.734350	156	180	156	186	157	179	2.505542	515114	6
0.537754	0.773675	130	150	130	155	131	149	2.505606	357712	5
0.537754	0.832667	104	120	104	124	105	119	2.505701	228930	4
0.537754	0.930997	78	90	78	93	79	89	2.505852	128768	3

1.080027	0.747935	384	120	384	132	382	123	2.504312	1263086	12
1.080027	0.773475	416	130	416	143	414	133	2.504363	1482352	13
1.080027	0.814340	480	150	480	165	478	153	2.504443	1973504	15
1.080027	0.880752	640	200	640	220	638	203	2.504570	3508334	20
1.080027	0.920602	800	250	800	275	798	253	2.504645	5481664	25
1.080027	0.947170	960	300	960	330	958	303	2.504694	7893494	30
1.080027	1.080027	32	10	32	11	32	10	2.504932	8770	1
1.080027	1.212907	960	300	960	330	962	297	2.505157	7892534	30
1.080027	1.239486	800	250	800	275	802	247	2.505200	5480864	25
1.080027	1.279357	640	200	640	220	642	197	2.505264	3507694	20
1.080027	1.386709	416	130	416	143	418	127	2.505430	1481936	13
1.080027	1.442482	352	110	352	121	354	107	2.505513	1061008	11
1.080027	1.523050	288	90	288	99	290	87	2.505628	710240	9
1.080027	1.578444	256	80	256	88	258	77	2.505705	561166	8
1.080027	1.649671	224	70	224	77	226	67	2.505800	429632	7

1.622768	1.174727	140	155	135	165	138	157	2.504324	396818	5
1.622768	1.249384	84	93	81	99	83	94	2.504443	142850	3
1.622768	1.302715	196	217	189	231	194	219	2.504525	777722	7
1.622768	1.342715	112	124	108	132	111	125	2.504586	253946	4
1.622768	1.398718	140	155	135	165	139	156	2.504669	396782	5
1.622768	1.436056	168	186	162	198	167	187	2.504722	571358	6
1.622768	1.622768	28	31	27	33	28	31	2.504975	15870	1
1.622768	1.782835	196	217	189	231	197	216	2.505171	777590	7
1.622768	1.846869	140	155	135	165	141	154	2.505244	396722	5
1.622768	1.902901	112	124	108	132	113	123	2.505305	253898	4
1.622768	1.942926	196	217	189	231	198	215	2.505347	777554	7
1.622768	1.996294	84	93	81	99	85	92	2.505401	142814	3
1.622768	2.071014	140	155	135	165	142	153	2.505474	396698	5
1.622768	2.183101	56	62	54	66	57	61	2.505575	63470	2
