*** G/BN/G ***
Ang12(deg)	  Ang32 (deg)	  a 	b	ap	bp	app	bpp	a3 (Angstrom)	Natom	lambda (lambda0)
0.601428	0.000000	56	54	54	54	55	55	2.460200	53798	2
0.601428	0.085921	196	189	189	189	193	192	2.460197	659026	7
0.601428	0.120290	140	135	135	135	138	137	2.460194	336238	5
0.601428	0.200482	84	81	81	81	83	82	2.460185	121046	3
0.601428	0.257762	196	189	189	189	194	191	2.460175	659030	7
0.601428	0.300722	112	108	108	108	111	109	2.460166	215194	4
0.601428	0.360865	140	135	135	135	139	136	2.460151	336242	5
0.601428	0.400960	168	162	162	162	167	163	2.460140	484190	6
0.601428	0.451078	224	216	216	216	223	217	2.460124	860786	8
0.601428	0.515514	392	378	378	378	391	379	2.460100	2636174	14
0.601428	0.601428	28	27	27	27	28	27	2.460064	13450	1
0.601428	0.735065	252	243	243	243	253	242	2.459997	1089470	9
0.601428	0.801881	168	162	162	162	169	161	2.459959	484214	6
0.601428	0.841969	140	135	135	135	141	134	2.459934	336262	5
0.601428	0.902100	112	108	108	108	113	107	2.459895	215210	4
0.601428	0.945050	196	189	189	189	198	187	2.459865	659086	7
0.601428	1.002314	84	81	81	81	85	80	2.459823	121058	3
0.601428	1.082481	140	135	135	135	142	133	2.459761	336278	5
0.601428	1.116837	196	189	189	189	199	186	2.459732	659110	7
0.601428	1.202723	56	54	54	54	57	53	2.459658	53806	2
0.601428	1.288603	196	189	189	189	200	185	2.459578	659138	7
0.601428	1.322954	140	135	135	135	143	132	2.459544	336298	5
0.601428	1.403102	84	81	81	81	86	79	2.414735	121070	3

1.276839	0.315623	63	279	54	279	57	283	2.459406	589358	9
1.276839	0.411705	35	155	30	155	32	157	2.459539	181894	5
1.276839	0.490326	77	341	66	341	71	345	2.459642	880342	11
1.276839	0.555848	42	186	36	186	39	188	2.459725	261914	6
1.276839	0.658820	49	217	42	217	46	219	2.459848	356482	7
1.276839	0.736056	56	248	48	248	53	250	2.459935	465598	8
1.276839	0.796132	63	279	54	279	60	281	2.460000	589262	9
1.276839	0.844195	70	310	60	310	67	312	2.460050	727474	10
1.276839	0.883521	77	341	66	341	74	343	2.460089	880234	11
1.276839	0.916293	84	372	72	372	81	374	2.460121	1047542	12
1.276839	0.944024	91	403	78	403	88	405	2.460148	1229398	13
1.276839	0.988395	105	465	90	465	102	467	2.460189	1636754	15
1.276839	1.006421	112	496	96	496	109	498	2.460205	1862254	16
1.276839	1.212836	168	744	144	744	167	745	2.459417	4190978	24
1.276839	1.276839	7	31	6	31	7	31	2.460421	7274	1
1.276839	1.319537	252	1116	216	1116	253	1115	2.461089	9425378	36
1.276839	1.637459	84	372	72	372	87	370	2.460623	1047398	12
1.276839	1.709590	70	310	60	310	73	308	2.460651	727354	10
1.276839	1.757677	63	279	54	279	66	277	2.460668	589154	9
1.276839	1.817788	56	248	48	248	59	246	2.460687	465502	8
1.276839	1.895074	49	217	42	217	52	215	2.460707	356398	7
1.276839	1.998124	42	186	36	186	45	184	2.460727	261842	6

1.782679	1.276493	203	189	189	196	200	192	2.460978	683484	7
1.782679	1.310243	145	135	135	140	143	137	2.460961	348718	5
1.782679	1.388991	87	81	81	84	86	82	2.460916	125540	3
1.782679	1.445237	203	189	189	196	201	191	2.460882	683502	7
1.782679	1.487421	116	108	108	112	115	109	2.460855	223186	4
1.782679	1.546477	145	135	135	140	144	136	2.460814	348732	5
1.782679	1.613967	203	189	189	196	202	190	2.460765	683524	7
1.782679	1.635057	232	216	216	224	231	217	2.460748	892770	8
1.782679	1.698326	406	378	378	392	405	379	2.460698	2734146	14
1.782679	1.782679	29	27	27	28	29	27	2.460626	13950	1
1.782679	1.867028	406	378	378	392	407	377	2.460548	2734258	14
1.782679	1.951371	203	189	189	196	204	188	2.460466	683580	7
1.782679	1.979484	174	162	162	168	175	161	2.460437	502226	6
1.782679	2.018841	145	135	135	140	146	134	2.460396	348772	5
1.782679	2.077875	116	108	108	112	117	107	2.460332	223218	4
1.782679	2.176256	87	81	81	84	88	80	2.460219	125564	3
1.782679	2.254955	145	135	135	140	147	133	2.460124	348798	5
1.782679	2.372991	58	54	54	56	59	53	2.459973	55810	2
