*** BN/BN/BN ***
Ang12(deg)	  Ang32 (deg)	  a 	b	ap	bp	app	bpp	a3 (Angstrom)	Natom	lambda (lambda0)
1.084549	0.813418	124	120	120	124	123	121	2.505843	267930	4
1.084549	0.976099	310	300	300	310	309	301	2.505799	1674582	10
1.084549	1.084549	31	30	30	31	31	30	2.505759	16746	1
1.084549	1.192995	310	300	300	310	311	299	2.505710	1674622	10
1.084549	1.355656	124	120	120	124	125	119	2.505619	267946	4

1.538500	1.282100	132	126	126	132	131	127	2.505884	299582	6
1.538500	1.435943	330	315	315	330	329	316	2.505815	1872422	15
1.538500	1.538500	22	21	21	22	22	21	2.505759	8322	1
1.538500	1.641052	330	315	315	330	331	314	2.505695	1872482	15
1.538500	1.794869	132	126	126	132	133	125	2.505583	299606	6

2.004628	1.754083	136	128	128	136	135	129	2.505927	313714	8
2.004628	1.904414	340	320	320	340	339	321	2.505832	1960762	20
2.004628	2.004628	17	16	16	17	17	16	2.505759	4902	1
2.004628	2.104836	340	320	320	340	341	319	2.505678	1960842	20
2.004628	2.255134	136	128	128	136	137	127	2.505543	313746	8
