*** GBNBN - TYPE1 ***  
Ang12 (deg)	Ang32 (deg)	a	b	ap	bp	app	bpp	alat^{(3)} (Angstrom)	Natom 	lambda_multiple
1.202325	-0.010739	58	52	56	54	57	55	2.461018	55138	2
1.202325	0.107388	145	130	140	135	143	137	2.460961	344618	5
1.202325	0.186135	87	78	84	81	86	82	2.460916	124064	3
1.202325	0.284566	116	104	112	108	115	109	2.460855	220562	4
1.202325	0.343622	145	130	140	135	144	136	2.460814	344632	5
1.202325	0.411112	203	182	196	189	202	190	2.460765	675488	7
1.202325	0.461728	290	260	280	270	289	271	2.460725	1378562	10
1.202325	0.501094	435	390	420	405	434	406	2.460693	3101792	15
1.202325	0.579824	29	26	28	27	29	27	2.460626	13786	1
1.202325	0.65855	435	390	420	405	436	404	2.460554	3101912	15
1.202325	0.697911	290	260	280	270	291	269	2.460516	1378642 10
1.202325	0.748516	203	182	196	189	204	188	2.460466	675544	7
1.202325	0.815986	145	130	140	135	146	134	2.460396	344672	5
1.202325	0.875019	116	104	112	108	117	107	2.460332	220594	4
1.202325	0.973401	87	78	84	81	88	80	2.460219	124088	3
1.202325	1.0521	145	130	140	135	147	133	2.460124	344698	5
1.202325	1.170136	58	52	56	54	59	53	2.459973	55154	2
1.202325	1.288158	145	130	140	135	148	132	2.459811	344728	5
1.202325	1.36683	87	78	84	81	89	79	2.459697	124106	3
1.202325	1.465159	116	104	112	108	119	105	2.459548	220642	4
1.202325	1.524151	145	130	140	135	149	131	2.459455	344762	5
