Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
     1.202325       -0.010739      36970         -261321.015504111  -261379.335907494
     1.202325        0.107388     231068         -1633297.35029087  -1633661.10661159
     1.202325        0.186135      83186         -587998.376292246  -588128.574210846
     1.202325        0.284566     147890         -1045358.60192546  -1045587.18449828
     1.202325        0.343622     231082         -1633401.69050499  -1633755.12069929
     1.202325        0.411112     452930         -3201536.45404689  -3202218.97929446
     1.202325        0.461728     924362         -6533860.06234288  -6535234.82861981
     1.202325        0.501094    2079842         -14701389.9737306  -14704448.2801049
     1.202325        0.579824       9244         -65341.4307233556  -65354.6796285206
     1.202325        0.658550    2079962         -14702283.5296766  -14705178.9243025
     1.202325        0.697911     924442         -6534455.76008004  -6535722.50133165
     1.202325        0.748516     452986         -3201953.43430271  -3202561.08986233
     1.202325        0.815986     231122         -1633699.52257257  -1634000.4406369
     1.202325        0.875019     147922         -1045596.85749834  -1045784.27201252
     1.202325        0.973401      83210         -588177.051635644  -588277.630621141
     1.202325        1.052100     231148         -1633892.87999905  -1634161.72643709
     1.202325        1.170136      36986         -261440.101278126  -261480.69598889
     1.202325        1.288158     231178         -1634115.75282016  -1634355.41647792
     1.202325        1.366830      83228         -588310.770832081  -588393.921408295
     1.202325        1.465159     147970         -1045953.4186032  -1046094.7984883
     1.202325        1.524151     231212         -1634368.03986528  -1634583.32729618
