Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
     1.202325       -0.010739      36970         -261321.015504111  -261334.116633764
     1.202325        0.107388     231068         -1633297.35029085  -1633379.40205343
     1.202325        0.186135      83186         -587998.376292243  -588028.057312654
     1.202325        0.284566     147890         -1045358.60192546  -1045411.79883631
     1.202325        0.343622     231082         -1633401.690505  -1633485.23403867
     1.202325        0.411112     452930         -3201536.45404696  -3201701.05682562
     1.202325        0.461728     924362         -6533860.06234336  -6534197.04869948
     1.202325        0.501094    2079842         -14701389.9737288  -14702149.60551
     1.202325        0.579824       9244         -65341.4307233556  -65344.8132408638
     1.202325        0.658550    2079962         -14702283.5296772  -14703043.9969498
     1.202325        0.697911     924442         -6534455.76008  -6534793.26586022
     1.202325        0.748516     452986         -3201953.43430266  -3202118.34860277
     1.202325        0.815986     231122         -1633699.52257254  -1633783.2121268
     1.202325        0.875019     147922         -1045596.85749835  -1045650.0936829
     1.202325        0.973401      83210         -588177.051635644  -588206.621421631
     1.202325        1.052100     231148         -1633892.87999907  -1633974.04651119
     1.202325        1.170136      36986         -261440.101278126  -261452.830757771
     1.202325        1.288158     231178         -1634115.75282013  -1634193.61246198
     1.202325        1.366830      83228         -588310.770832078  -588338.387986613
     1.202325        1.465159     147970         -1045953.4186032  -1046001.61038924
     1.202325        1.524151     231212         -1634368.03986527  -1634442.5095224
